[2025-01-19 18:15:12,600: INFO: main: Welcome to my custom log]
[2025-01-19 18:17:32,637: INFO: main: Welcome to my custom log]
[2025-01-19 19:43:45,390: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 19:43:45,412: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 19:43:45,415: INFO: common: created directory at: artifacts]
[2025-01-19 19:43:45,419: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 19:43:45,424: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 19:44:16,694: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 20:21:34,692: INFO: main: >>>>>> stage DATA INGESTION STAGE started <<<<<<]
[2025-01-19 20:21:34,694: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 20:21:34,695: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 20:21:34,696: INFO: common: created directory at: artifacts]
[2025-01-19 20:21:34,697: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 20:21:34,698: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 20:22:16,112: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 20:22:19,210: INFO: main: >>>>>> stage DATA INGESTION STAGE completed <<<<<<

x==========x]
